questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,manualDerivedAnswer,rendererVerdict,reason,recommendedAction,officialScopeEvidence,allStringFieldsRead,reviewedStringFieldCount,reviewedUnicodeCharacterCount,originalArtifactSha256,manualReviewer,manualReviewStatus
u01-s006-v001,u01,s006,integer-absolute-value-basic,mc,basic,PASS,,True,True,|-8|=8。,SAFE,題幹、四個選項、答案、解析、步驟與選項分析一致。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,398,44679e0897b43441ddda8a5e16603210771f58dd69097a855b2396a10b5d0b1d,GPT-5.6 Thinking,COMPLETE
u01-s006-v002,u01,s006,integer-absolute-value-basic,mc,basic,PASS,,True,True,|0|=0。,SAFE,0 到 0 的距離為 0；唯一正解與解析一致。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,385,63ba96668ab00a66f785a1a2370b5da653e0dbf573712254516843c0b2309523,GPT-5.6 Thinking,COMPLETE
u01-s006-v003,u01,s006,integer-absolute-value-basic,mc,basic,PASS,,True,True,只有 |-5|=5 成立。,SAFE,四個等式逐一檢查後只有第三個正確。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,428,46cef2562bc7ad11e3b298a15f432459b023822bb28a7931a6bb8738f3b8b6bd,GPT-5.6 Thinking,COMPLETE
u01-s006-v004,u01,s006,integer-absolute-value-basic,mc,standard,PASS,,True,True,|x|=5 的整數解為 x=5 或 x=-5。,SAFE,距離 0 為 5 的整數恰有兩個。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,426,6add393ebe3e218c6426713ca54a42ba28f6c91a47b80e3e7f54835e441dc080,GPT-5.6 Thinking,COMPLETE
u01-s006-v005,u01,s006,integer-absolute-value-basic,mc,standard,PASS,,True,True,|-9|=9，|6|=6，因此 |-9|>|6|。,SAFE,比較對象是兩個絕對值，答案唯一。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,443,a4d48b16553d3408abd39053cd42b5c3da88813289fee9563a87b4055bd4df8f,GPT-5.6 Thinking,COMPLETE
u01-s006-v006,u01,s006,integer-absolute-value-basic,mc,standard,PASS,,True,True,-|-4|=-4。,SAFE,先取絕對值得 4，再保留外層負號；解析完整。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,399,d9e1873c8b0c149c60c394ea40bc88823b722f0e6c1261f02f84b6953705998f,GPT-5.6 Thinking,COMPLETE
u01-s006-v007,u01,s006,integer-absolute-value-basic,mc,advanced,PASS,,True,True,|a|=3 給 a=±3，再由 a<0 得 a=-3。,SAFE,條件篩選正確，唯一答案成立。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,439,509753a0a2826a024e11943475be4971d98c6b105cdb525c5a1dba4a5765e1b6,GPT-5.6 Thinking,COMPLETE
u01-s006-v008,u01,s006,integer-absolute-value-basic,mc,advanced,PASS,,True,True,整數解為 -1、0、1，共 3 個。,SAFE,嚴格小於不含 ±2；答案與解析一致。,原樣保留。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,446,06abed4466e130ef468c2d032acd8368c38cb52c6c03c51fa388c9180f3f5690,GPT-5.6 Thinking,COMPLETE
u01-s006-v009,u01,s006,integer-absolute-value-basic,mc,advanced,DIFFICULTY_REPAIR,DIFFICULTY_TOO_HIGH,True,True,|-7|-|2|=7-2=5。,SAFE,數學與答案正確，但只是先取兩個絕對值再做正整數減法，標為 advanced 過高。,降為 standard，並在同技能另設真正需要條件推理的 advanced 題以維持分布。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,36,403,f3554414a333437760cb0a313774f3045d50798134f14179e6ff046c62b2f2a1,GPT-5.6 Thinking,COMPLETE
u01-s006-v010,u01,s006,integer-absolute-value-basic,mc,literacy,SEQUENCE_REPAIR,NEXT_SKILL_DISTANCE_FORMULA|INTEGER_SUBTRACTION_NOT_YET_TAUGHT,True,True,|243-250|=7°C。,SAFE,題目直接使用兩點絕對差，正是下一技能 S007；解析還使用尚未教的整數減法。,移到距離技能，或改寫成已知偏差為 -7°C，再問偏差大小。,國中教育會考第四學習階段；數與量領域。技能主題在範圍內，另依本列檢查教學順序。,True,37,508,a33c28fdad08391e3feb94ff8ed2a387b3c49f24932a20993ed00796ddade954,GPT-5.6 Thinking,COMPLETE
