artifactId,artifactType,fieldPath,unicodeCharacterCount,utf8ByteCount,utf8Sha256
u03-s005-lecture-r1,lecture,lectureId,19,19,261e460c03769e77bc4c7cb85e773604a12daf5991f104913df72505d4806424
u03-s005-lecture-r1,lecture,unitId,3,3,97ce842ec69dee17c1842918e63b9d4042fa4b35007146dcfb80a09c5000888a
u03-s005-lecture-r1,lecture,topicId,27,27,5edc6d8adc97105fb624f3211c5e8b14178a37949edbbef037f75ad528a701a5
u03-s005-lecture-r1,lecture,skillId,27,27,a2292f3ef313214a54270bb26312b0c4164964f6d54023fc2f4cd22d0d8caa7e
u03-s005-lecture-r1,lecture,title,22,66,9643a5d23d6fdfe99b55aa23c5099d03e9d50e9b5a504531473ee21f4f601966
u03-s005-lecture-r1,lecture,audience,10,30,e6b4416fbd9f36797de01256b31a4d6f6314e126fde8495e25792c814f64fc5f
u03-s005-lecture-r1,lecture,reviewStatus,22,22,ec809598e2f7fcc69fad54c9cd045bba62b4a0dc7c0ff90d4efdc3788c9ad8fb
u03-s005-lecture-r1,lecture,learningOutcomes[0],12,36,c86fe9234d2d2123af15859685c8fc66751c2f64ef8ecd52df705ec09aa92353
u03-s005-lecture-r1,lecture,learningOutcomes[1],15,45,d1f5aee03117e26e1d0795c52be78970f752e5705306c97eba0716e0f09501ee
u03-s005-lecture-r1,lecture,learningOutcomes[2],17,51,5f5b334a5631c6b870edfb27ff8909adfaff9660ca5c60d3b97fb63ef125f399
u03-s005-lecture-r1,lecture,learningOutcomes[3],16,48,30532da7bfaf97406f0a3182cdda5194910d95ad1458b76937049e4cb2ea535a
u03-s005-lecture-r1,lecture,prerequisites[0].skillId,29,29,1fa435421e21dd4e51711d9deb743dbe0e1833fa8edad9d1c796c54493db5e93
u03-s005-lecture-r1,lecture,prerequisites[0].requiredLevel,24,72,5dc80b034ef801f1e822db91b4ff86f8188afddda33efb539eea7741b28c6ee0
u03-s005-lecture-r1,lecture,glossary[0].term,4,12,04e9fb377361a2929dc9c48d3fc2567bac2aaced94b9c6200179425b327880ba
u03-s005-lecture-r1,lecture,glossary[0].definition,13,39,b018fb81e8701731b492cee9f6cbd2b3883dc724bea2a2abb41dee1a4c66a419
u03-s005-lecture-r1,lecture,glossary[1].term,3,9,ddf3bb59163306a8c9200ca974442b0c195262e783de74aeae70fd73ed0ca6d1
u03-s005-lecture-r1,lecture,glossary[1].definition,11,33,8b0462ab64a49135544e9b9740af73740d6961100dccbefc8759f7e6f2353df7
u03-s005-lecture-r1,lecture,glossary[2].term,4,12,e7dd7901b7883731fba720b9191901af3880db7cfa5541e3bd9447c65703fe9c
u03-s005-lecture-r1,lecture,glossary[2].definition,12,36,35dedbbf9fea283737d04f0485f2bdb33ee8bfd1c49da06f002f6e96fb5d1743
u03-s005-lecture-r1,lecture,glossary[3].term,3,9,a885d91b4778d73b6590bf4128445ad2f727455f13f9c11b1da332943ab1ac9b
u03-s005-lecture-r1,lecture,glossary[3].definition,18,54,43fd135534843b4bd994f90e649f5f236c9d612dc808175e0c6b6e0cfdcc8640
u03-s005-lecture-r1,lecture,notation[0].symbol,6,6,3e29a9529b5516135197361e4b8c17c5878374df10ce834a82df2e44ec82fddf
u03-s005-lecture-r1,lecture,notation[0].meaning,14,34,c6c796439ac4bf9cec77ad4af0e1a01189655011e55244c53d6aa895f097296c
u03-s005-lecture-r1,lecture,notation[1].symbol,10,10,03f95200dde8270da42eea8849f2af6be9b9273695af0252c1315b960254db95
u03-s005-lecture-r1,lecture,notation[1].meaning,12,36,ebddaa65842110c8c35bb4b40388338019bae03bc4aad8824693e09e26eac971
u03-s005-lecture-r1,lecture,conceptNarrative[0],21,63,aed7e1df4dd10d937dab901c08386e3cd799343fe84d8151f6776bb4de84f217
u03-s005-lecture-r1,lecture,conceptNarrative[1],27,81,acc86972bebbc6191f9de470b3efdca6a4d1de739f7ed0a04c35cdda94a5aabb
u03-s005-lecture-r1,lecture,conceptNarrative[2],21,59,5b4d0bcc983edfbd026096563ef26334169308cf9ddfbd93966b7839f56d7ca2
u03-s005-lecture-r1,lecture,conceptNarrative[3],39,106,1023a2a806ec3645fd0801d94083ace43199e996d0118ad4d20832e3340102ed
u03-s005-lecture-r1,lecture,formalDefinitions[0].name,5,15,7d8296d57871cbf15306d0fdf97625fc2f64d5d5256704246246d92ad502e734
u03-s005-lecture-r1,lecture,formalDefinitions[0].statement,15,17,d2d63379535e92353de2204202708b71c1da6712e3e3cc7567df0de531db231a
u03-s005-lecture-r1,lecture,formalDefinitions[1].name,5,15,b9eb775c2f2ad9d9103f4ca133d432910806684091817bfe9ac953cdabe2db8d
