artifactId,artifactType,fieldPath,unicodeCharacterCount,utf8ByteCount,utf8Sha256
u02-s007-lecture-r1,lecture,lectureId,19,19,471e66642404a1237593d0f4b6181267dcf3ce27765a0048bdbe314534f5bbaf
u02-s007-lecture-r1,lecture,unitId,3,3,95b6504a8bd60df3a9a19ef2c504ac03429b325e9b81f0d701d07bdf6def6afb
u02-s007-lecture-r1,lecture,topicId,16,16,08cb85c0b818133f7056665c7fd8ba4fb9ed6c65a0ee1b1691049ef9ca5a5773
u02-s007-lecture-r1,lecture,skillId,24,24,6026be882c09b7aa0e4a355a068e6b8bbe5e23d493de18695b20b714c1c46977
u02-s007-lecture-r1,lecture,title,24,72,ede890bc78505fe29343f14dd6c195f4f0f4e4a770333e5096a5f0c6b226db5c
u02-s007-lecture-r1,lecture,audience,10,30,e6b4416fbd9f36797de01256b31a4d6f6314e126fde8495e25792c814f64fc5f
u02-s007-lecture-r1,lecture,reviewStatus,22,22,ec809598e2f7fcc69fad54c9cd045bba62b4a0dc7c0ff90d4efdc3788c9ad8fb
u02-s007-lecture-r1,lecture,learningOutcomes[0],23,63,5f712c58269dd79fc9f19ab1483d2db65c85cc10666cd63317c65e0ec9b0c123
u02-s007-lecture-r1,lecture,learningOutcomes[1],15,39,203e8c710334d840f423a17d57286c56370d2dc03a93fc49635f30fb48d1844b
u02-s007-lecture-r1,lecture,learningOutcomes[2],14,42,ea2b8ef3bbcc021481f05d979da2ff28cc0a771c55a1de16eba02dc36075df44
u02-s007-lecture-r1,lecture,learningOutcomes[3],18,54,aab0fac358d11d2f16583bc0635c2f2e4b4545b89cf09cbc4f58ef775b761c05
u02-s007-lecture-r1,lecture,prerequisites[0].skillId,24,24,1d4723015f7d2c02aafd2728a8db2560fc262d8e69d4602ca5a76539d88518a1
u02-s007-lecture-r1,lecture,prerequisites[0].requiredLevel,25,63,cb43327301e3685af8c33f840b2d9f15017f3448fc539d9ec56d3c4f24b4149d
u02-s007-lecture-r1,lecture,glossary[0].term,2,6,c73a517047027111c35f95b45a7e0e45b9e401080b4bfe339a13fd8e8611d642
u02-s007-lecture-r1,lecture,glossary[0].definition,13,39,37021a9b9f8d26025249da55bf2e86f8f034081a1cfa0d9c1d1214e1df829bc8
u02-s007-lecture-r1,lecture,glossary[1].term,4,12,280f6b6f4efdcf7b64bec65cecee8fd415f24009f27d4bfd7bcdda599573603d
u02-s007-lecture-r1,lecture,glossary[1].definition,13,39,ac98a09889ca96a20c633f61946705c3a63e598e450f9190f1c7535bb382e398
u02-s007-lecture-r1,lecture,glossary[2].term,2,6,dcfe516d1114e14f107af32b3b8d7f2dbbd0447258318d29e9f266f6bbb49c29
u02-s007-lecture-r1,lecture,glossary[2].definition,12,36,7286ccaf91a8db5d1c7c6ea45347b206d4db2bd2b5a4a1658b964b733c28f856
u02-s007-lecture-r1,lecture,glossary[3].term,4,12,4815b6459c0c32abbfcf46f91da914910051312c73585c30a6f3450cb747a3c6
u02-s007-lecture-r1,lecture,glossary[3].definition,17,51,0bcc9b0c210bda2c3a97946371057396b3c49edfbef73e23d8d75790aab821c0
u02-s007-lecture-r1,lecture,notation[0].symbol,14,20,cc021cb25eb89cc08370f2079ba4bea809d288c93e94d7c7ab77e43d86b6b0b2
u02-s007-lecture-r1,lecture,notation[0].meaning,6,16,0cd143482114d679ce6ec85d6547ab9bfa2d8371894988f2c32cc50251690e6e
u02-s007-lecture-r1,lecture,conceptNarrative[0],17,51,37279e14912d1ba5c0b0ec6142c5e8795fc15f91d7cf027c1d996c3676c04230
u02-s007-lecture-r1,lecture,conceptNarrative[1],36,102,e591533511d0ef4b11e4ca405b485274f23c3c898ddd47f3ae540d7fe35be12e
u02-s007-lecture-r1,lecture,conceptNarrative[2],22,66,2a4b6112c7b642e34bca91d488cf056cdc7225ac99064b002a1f1b707acc87e4
u02-s007-lecture-r1,lecture,conceptNarrative[3],21,63,e9c4f753901cf949afba269b1791a80b86c68b26ac2fe5efdbc05493b83ed7fa
u02-s007-lecture-r1,lecture,formalDefinitions[0].name,6,18,9272bc7d3acbaed072c044416cf5ca27bc95f19d874d030c31d5e708ba91644a
u02-s007-lecture-r1,lecture,formalDefinitions[0].statement,14,42,8820f1200d6515b89d5e9e9685e7cc05df2cca89fdb32968e08dec0a42700fc3
u02-s007-lecture-r1,lecture,formalDefinitions[1].name,4,12,60fc2a57990bbea88bcb51817a2fe3c5a8bdcd82f980a2e455f05ff5f982f5d1
u02-s007-lecture-r1,lecture,formalDefinitions[1].statement,21,57,4765b1556cf837114995c6eba94955d31e54f9c3c2198df13d7e13fbc65b0bea
u02-s007-lecture-r1,lecture,formulas[0].formula,13,27,863f257f5eaa702c4028faffcfdf701dad26e38185ce6fd4996bcd7696713c61
u02-s007-lecture-r1,lecture,formulas[0].conditions[0],11,33,79157b5c4f01163400bfac71ecd10404748a0669387d05c77b5d636775b8bdde
u02-s007-lecture-r1,lecture,formulas[0].meaning,11,33,eacb4cbedc93fdda3f3fee93124e33d20906b53673e9f2ee82b50bdb79c3ecdb
u02-s007-lecture-r1,lecture,nonApplicableCases[0],18,48,7a1211212089d2aa8bd07b136f47d73c8de48f620b973ba7173f572819e7e135
u02-s007-lecture-r1,lecture,nonApplicableCases[1],30,90,f52281bfb1cbcead795d13d0c5b4d3bcd6bcf67696b4860fb19909fcf4591594
u02-s007-lecture-r1,lecture,nonApplicableCases[2],16,42,83dda415d8f147dcdd1bd6f2fd8e5d66cb44782ef57d22fe6c94868a6011dfff
u02-s007-lecture-r1,lecture,nonApplicableCases[3],9,27,26a42729f4c99c4857aeef5ef6f4079f6bbe57739cf9fde515b75557b8193190
u02-s007-lecture-r1,lecture,method[0].instruction,11,33,4a5d919afccd74819782c5d5027e6290fe28a56c3f4d3d5c1e776c502a5280f1
u02-s007-lecture-r1,lecture,method[0].check,7,21,393f9854fb9c13701afab6aacb1819b6c59b06b7646e413ef384e4d6f5d10dfc
u02-s007-lecture-r1,lecture,method[1].instruction,5,9,cefb0acb50a22cdb2a6b7829481467b1023419e80807bc9484450ea155627a19
u02-s007-lecture-r1,lecture,method[1].check,11,33,278bd21f8d9f9192c261bc97727b327de3afd5e71bc3450fdb090bb1527331bb
u02-s007-lecture-r1,lecture,method[2].instruction,8,24,40526c5aa5df699e18e789037a6e97df5957938fccfd245fcbf5079eacf177cc
u02-s007-lecture-r1,lecture,method[2].check,9,27,c978d1660ca7ec7fdbd4e5c4c4fc0f215483cae6d59d65692c5017500ad026b5
u02-s007-lecture-r1,lecture,method[3].instruction,12,30,de0fae2cb1663e72921697930ba7eada0fd213812aa7efef9c385036a4a72c25
u02-s007-lecture-r1,lecture,method[3].check,10,30,3fb69d6d0931eb20f8d3fd20af2125c8c83c0f1b5af3fcf120c94c0e88581235
u02-s007-lecture-r1,lecture,method[4].instruction,7,21,e20541bfb43e254c1e2479413731cfd086b6d234107ba3e1b148cb6ac35d4a3d
u02-s007-lecture-r1,lecture,method[4].check,16,48,e375570c2703ca3c11b99408349b9cdbc102a12bcbfe38eaa2f5a7bcabf7bc3e
u02-s007-lecture-r1,lecture,workedExamples[0].exampleId,2,2,dffe8596427fc50e8f64654a609af134d45552f18bbecef90b31135a9e7acaa0
u02-s007-lecture-r1,lecture,workedExamples[0].prompt,10,26,a3920c5d04c670751edbd5556e454dee5684417fdd874cdd5156ba299b9d4bbc
u02-s007-lecture-r1,lecture,workedExamples[0].solutionSteps[0],7,9,e40b0e26c25b502304f9ab0e894d4cfd6642ba8332ffecc93b9ebd910eb56873
u02-s007-lecture-r1,lecture,workedExamples[0].solutionSteps[1],13,25,b7b0306e3dff4273bc7ef3bf3f4542630430c76ee75711a8efa757026c0319e2
u02-s007-lecture-r1,lecture,workedExamples[0].answer,6,14,de7a14d36ca1c09714d707f4a1fd6c59b4bbef2d131f361d602a6446a34d4467
u02-s007-lecture-r1,lecture,workedExamples[1].exampleId,2,2,d76354d8457898445bb69e0dc0dc95fb74cc3cf334f8c1859162a16ad0041f8d
u02-s007-lecture-r1,lecture,workedExamples[1].prompt,14,26,0963e78bb099a0c855260726a71c925c680c8ea33c56039e5efc28a499618f42
