artifactId,artifactType,fieldPath,unicodeCharacterCount,utf8ByteCount,utf8Sha256
u03-s001-lecture-r1,lecture,lectureId,19,19,2c2f5137102d8587a4bd86f9091fd2ce88391e898adbc6d2f5dc10a633c65b81
u03-s001-lecture-r1,lecture,unitId,3,3,97ce842ec69dee17c1842918e63b9d4042fa4b35007146dcfb80a09c5000888a
u03-s001-lecture-r1,lecture,topicId,21,21,1f32a922c9323d4c5f771b01b463504a5b9e42a4e1697b8276a36409063e5bcc
u03-s001-lecture-r1,lecture,skillId,30,30,eab9451613a770af13f15402cb783408dd974895ff6c7c5c8b5f6f31ea384ad5
u03-s001-lecture-r1,lecture,title,24,72,10e620c9c7fda5e53f85d6cd67dec735f00f561b07bd29428861f6bc803f408a
u03-s001-lecture-r1,lecture,audience,10,30,e6b4416fbd9f36797de01256b31a4d6f6314e126fde8495e25792c814f64fc5f
u03-s001-lecture-r1,lecture,reviewStatus,22,22,ec809598e2f7fcc69fad54c9cd045bba62b4a0dc7c0ff90d4efdc3788c9ad8fb
u03-s001-lecture-r1,lecture,learningOutcomes[0],13,39,4d53725e93c9360c9fc03232dba651b59f840f18e8199dc2f4e302d0d747360b
u03-s001-lecture-r1,lecture,learningOutcomes[1],19,57,584d587ebb4b9eb88089333bb3392018425d8a74fefac8b8e1ffbe87544b3e3f
u03-s001-lecture-r1,lecture,learningOutcomes[2],21,63,73bdef540a4999404bcfab49641b26004e5a5a437e3c3d22419d9aafe54ac05e
u03-s001-lecture-r1,lecture,learningOutcomes[3],19,57,efa0a84f316d704fb58e73760849105af59d6e30b163f1449c90c1e0bdf93fb7
u03-s001-lecture-r1,lecture,glossary[0].term,3,9,fc7ee05a309d257037320eafb8a1a733aded065c12d76f81fa242dac9ea4626b
u03-s001-lecture-r1,lecture,glossary[0].definition,17,51,4da149c12bfa72b95f4fa097e6b2d8449b882900d4cc33d665cde432e201dfb8
u03-s001-lecture-r1,lecture,glossary[1].term,2,6,dc9d1a00a79380970d9227e5fe4f609bc59cd94f2764184c5a954ef76e4f3767
