questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,manualDerivedAnswer,rendererVerdict,reason,recommendedAction,officialScopeEvidence,allStringFieldsRead,reviewedStringFieldCount,reviewedUnicodeCharacterCount,originalArtifactSha256,manualReviewer,manualReviewStatus
u03-s013-v001,u03,s013,linear-equation-reasonableness,mc,basic,PASS,,true,true,"重新計算後唯一正解為：不合理，人數不能為負。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,615,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v002,u03,s013,linear-equation-reasonableness,mc,basic,PASS,,true,true,"重新計算後唯一正解為：若以已完成整年計，13.5 不符合整數條件。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,648,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v003,u03,s013,linear-equation-reasonableness,mc,basic,PASS,,true,true,"重新計算後唯一正解為：7.2 不是可接受箱數，應檢查題意或模型。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,632,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v004,u03,s013,linear-equation-reasonableness,mc,standard,PASS,,true,true,"重新計算後唯一正解為：不合理，長度不可為負。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,597,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v005,u03,s013,linear-equation-reasonableness,mc,standard,PASS,,true,true,"重新計算後唯一正解為：不合理，正距離在有限時間內速率不能為0。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,614,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v006,u03,s013,linear-equation-reasonableness,mc,standard,PASS,,true,true,"重新計算後唯一正解為：合理。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,606,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v007,u03,s013,linear-equation-reasonableness,mc,advanced,PASS,,true,true,"重新計算後唯一正解為：合理，12 是非負整數且通過驗算。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,611,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v008,u03,s013,linear-equation-reasonableness,mc,advanced,PASS,,true,true,"重新計算後唯一正解為：不是題目可接受的解。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,580,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v009,u03,s013,linear-equation-reasonableness,mc,advanced,PASS,,true,true,"重新計算後唯一正解為：合理。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,37,567,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v010,u03,s013,linear-equation-reasonableness,mc,literacy,PASS,,true,true,"重新計算後唯一正解為：不合理，座位數需為整數。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,38,634,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v011,u03,s013,linear-equation-reasonableness,mc,literacy,PASS,,true,true,"重新計算後唯一正解為：合理。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,38,600,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
u03-s013-v012,u03,s013,linear-equation-reasonableness,mc,literacy,PASS,,true,true,"重新計算後唯一正解為：不合理，250人超過容量。",SAFE,"題幹、所有選項、唯一答案、answerIndex、解析、步驟、選項分析、難度與情境均逐欄核對一致。","原樣保留。","國中教育會考第四學習階段數學；另核對本網站鎖定技能範圍、前置順序與零基礎可讀性。",true,38,721,c64b6c96947efe765731d673e7eeccd72b79a13943b75aab3d94151df6c664ec,GPT-5.6 Thinking,COMPLETE
