questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,manualDerivedAnswer,rendererVerdict,reason,recommendedAction,officialScopeEvidence,allStringFieldsRead,reviewedStringFieldCount,reviewedUnicodeCharacterCount,originalArtifactSha256,manualReviewer,manualReviewStatus
u01-s014-v001,u01,s014,integer-scientific-notation,mc,basic,PASS,,True,True,"5,200,000＝5.2×10⁶。",SAFE,題幹、標準形式、唯一答案、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,469,cfbf18d836fc593b7634bdc71edcc0168c8b135ff60d3a8f3eabca5205ff19b3,GPT-5.6 Thinking,COMPLETE
u01-s014-v002,u01,s014,integer-scientific-notation,mc,basic,FORMAT_REPAIR,PROGRAMMING_CARET_NOTATION,True,True,0.00073＝7.3×10⁻⁴。,SAFE,答案與數值正確，但正確選項分析使用 10^-4 的程式式記號。,將 10^-4 改成正式上標 10⁻⁴。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,450,efecf8eafa712b29a60fb36e70ce05826898a4c9038e4511250de7d7b0e77a4a,GPT-5.6 Thinking,COMPLETE
u01-s014-v003,u01,s014,integer-scientific-notation,mc,basic,PASS,,True,True,只有 4.08×10⁻³ 的係數絕對值介於 1 與 10。,SAFE,題幹、標準形式、唯一答案、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,442,c0108db9f2a0c6bdb7b8cef1b6839cca80d9b7982a6689ae86c5a4d4440140de,GPT-5.6 Thinking,COMPLETE
u01-s014-v004,u01,s014,integer-scientific-notation,mc,standard,PASS,,True,True,"6.02×10⁵＝602,000。",SAFE,題幹、標準形式、唯一答案、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,455,6e4b2d30acaac6a75f83650d114ae202044a3facc4f336b301f0cea80dc903d4,GPT-5.6 Thinking,COMPLETE
u01-s014-v005,u01,s014,integer-scientific-notation,mc,standard,PASS,,True,True,"3.1×10⁷＝31,000,000，大於 9.9×10⁶＝9,900,000。",SAFE,題幹、標準形式、唯一答案、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,474,29fc460d50b3413ddae49f84885293a889a0fc0c137bdc8ec047ee440f167de0,GPT-5.6 Thinking,COMPLETE
u01-s014-v006,u01,s014,integer-scientific-notation,mc,standard,FORMAT_REPAIR,PROGRAMMING_CARET_NOTATION,True,True,(2×10³)(4×10⁵)＝8×10⁸。,SAFE,答案正確，但正確選項分析使用 10^(3+5)。,改成 10³×10⁵＝10⁸，或寫成「指數 3＋5＝8」。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,430,ad0615f844af925fd3a4847cb4e5959ac3ac6c250b665282ba24128586b2599d,GPT-5.6 Thinking,COMPLETE
u01-s014-v007,u01,s014,integer-scientific-notation,mc,advanced,DIFFICULTY_AND_FORMAT_REPAIR,DIFFICULTY_TOO_HIGH|PROGRAMMING_CARET_NOTATION,True,True,(9×10⁸)÷(3×10²)＝3×10⁶。,SAFE,數學正確，但只是直接套用係數相除、指數相減，advanced 標示過高；分析另使用 10^(8-2)。,降為 standard，另補真正需要正規化或數量級判斷的 advanced 題；改用正式上標。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,425,2bf1b78a345b7803926759f883155c3f8a2cc3eb0da0838bc61cf7c86a66f5b0,GPT-5.6 Thinking,COMPLETE
u01-s014-v008,u01,s014,integer-scientific-notation,mc,advanced,DIFFICULTY_REPAIR,DIFFICULTY_TOO_HIGH,True,True,18×10⁴＝1.8×10⁵。,SAFE,數學正確，但只做一次係數正規化，難度較適合 standard。,降為 standard，並重新平衡本技能難度分布。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,477,0c1949b4051574f5175cc9f2d6a90b631c3d7090572c961aea196d8970dadfbe,GPT-5.6 Thinking,COMPLETE
u01-s014-v009,u01,s014,integer-scientific-notation,mc,advanced,DIFFICULTY_AND_FORMAT_REPAIR,DIFFICULTY_TOO_HIGH|PROGRAMMING_CARET_NOTATION,True,True,0.00000045＝4.5×10⁻⁷。,SAFE,數學正確，但只是直接數小數位，advanced 標示偏高；分析使用 10^-7。,降為 standard；將程式式負指數改成正式上標。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,36,482,af99622de062eafed8620342056676e73b53dacce8573a561f6f05c583c9c438,GPT-5.6 Thinking,COMPLETE
u01-s014-v010,u01,s014,integer-scientific-notation,mc,literacy,PASS,,True,True,"23,500,000＝2.35×10⁷。",SAFE,題幹、標準形式、唯一答案、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中教育會考數學科依第四學習階段命題；本題另核對數與量範圍、前置順序與表達完整性。,True,37,541,f25227c2c7b11438061674c3092dcea1185ad9c25bf2275086602287dffbd847,GPT-5.6 Thinking,COMPLETE
