artifactId,artifactType,fieldPath,unicodeCharacterCount,utf8ByteCount,utf8Sha256
u02-s012-lecture-r1,lecture,lectureId,19,19,d5da9f3271736c7e53bcaeb12dccd299a43d7bfd422e867dbb47d3fa3d4851a9
u02-s012-lecture-r1,lecture,unitId,3,3,95b6504a8bd60df3a9a19ef2c504ac03429b325e9b81f0d701d07bdf6def6afb
u02-s012-lecture-r1,lecture,topicId,16,16,66e703817676a7ab7aa5a3dd6de79c75ae4590ebd2b1cf827c0f3445df800ee6
u02-s012-lecture-r1,lecture,skillId,31,31,fb5a8839ea0502fb3bba0d84228e947652ca7b95fc68afd5710256ddd2bf76c0
u02-s012-lecture-r1,lecture,title,26,78,54697dad3cbed6e73bfca83a9f893b6fce6ac5f5e937fa1dbe4b5cc1cf60b546
u02-s012-lecture-r1,lecture,audience,10,30,e6b4416fbd9f36797de01256b31a4d6f6314e126fde8495e25792c814f64fc5f
u02-s012-lecture-r1,lecture,reviewStatus,22,22,ec809598e2f7fcc69fad54c9cd045bba62b4a0dc7c0ff90d4efdc3788c9ad8fb
u02-s012-lecture-r1,lecture,learningOutcomes[0],12,36,22d0d0a76b305e4e4203d90c8d3a53490b23f40e6c9a29e009549d809bb8d493
u02-s012-lecture-r1,lecture,learningOutcomes[1],13,39,72abc91e59c99c9d64b6e8ee83ad803b40d3ddaa6a7447466b4533e18debc2fc
u02-s012-lecture-r1,lecture,learningOutcomes[2],16,48,5b8843e22d20c39189d4b5fbd6343f1d03c6bc107b332ac2f4a143537b85f20f
u02-s012-lecture-r1,lecture,learningOutcomes[3],15,45,bd9927aa843e1525d9d55c70954a93c809065ee84ba0db58b9c4af954702be74
u02-s012-lecture-r1,lecture,prerequisites[0].skillId,21,21,b97edefce07bf8907bdb22975ca63120b07231b12a448d21443236b4df7862f1
u02-s012-lecture-r1,lecture,prerequisites[0].requiredLevel,21,63,3be3853f6769d492c0bf0cca147622c7d6fe4c7b0a7853f83cee06799efe9350
u02-s012-lecture-r1,lecture,glossary[0].term,3,9,f43bc188ad7d2e5b82e6345a82bed5a42eacf093248f3eaeeb0a31f8d632ed98
u02-s012-lecture-r1,lecture,glossary[0].definition,15,45,5005bcbb6e360cff0157d9bf8797d282b84a486f3d9d1fb776bc50de9296cdf0
u02-s012-lecture-r1,lecture,glossary[1].term,4,12,677fa27927ef87f767d6d57bd6141a6de2e8349409357d917a422d1015f2e992
u02-s012-lecture-r1,lecture,glossary[1].definition,18,54,2415aa88b372d4c97d64730b227a2f990e573f1cb3ecde739e8b22e3be12c80c
u02-s012-lecture-r1,lecture,glossary[2].term,3,9,9968eca0ecfe32264421b97834a69d8ab4eb010eab3a41256283acdafaf7121c
u02-s012-lecture-r1,lecture,glossary[2].definition,12,36,72c6f67e41029779974f895f683176716e08223e0605e023388a0c7a4a540b98
u02-s012-lecture-r1,lecture,glossary[3].term,3,9,f6a184e8cbc81ab9153149f8adfeebc8e7fe6a01693c9d83248db1271d0e2f46
u02-s012-lecture-r1,lecture,glossary[3].definition,12,36,130c472ea30ac71391620d668301f2b1ef273915de49dc16900a54f711b3f3b0
u02-s012-lecture-r1,lecture,notation[0].symbol,11,11,278226975db06f39295f8f75a0af0f79f3fc3449c1480ae819b59becbf9bd367
u02-s012-lecture-r1,lecture,notation[0].meaning,10,17,88fbbc5d3405aed26cd3165d948697a6bdd636e3424a8727a730a0cc138c174b
u02-s012-lecture-r1,lecture,conceptNarrative[0],17,51,59547dbcdc1e22cb62987d352394e2de87612f6d49de7ec2c9127b686a9b6d42
u02-s012-lecture-r1,lecture,conceptNarrative[1],27,81,da3a1bc48594f94bd35c205b09b2cc4663e4611cd8e02055daa42838d2695ab6
u02-s012-lecture-r1,lecture,conceptNarrative[2],36,108,b5fcecf2225a0b21e431a9f49fc04b3bc68a196668efcfbd520e28b2bf32aca4
u02-s012-lecture-r1,lecture,conceptNarrative[3],12,34,1c746cb094679e33ef965684648cda3692fec57c87a7291e9b295f01e0d3a35d
u02-s012-lecture-r1,lecture,formalDefinitions[0].name,3,9,f43bc188ad7d2e5b82e6345a82bed5a42eacf093248f3eaeeb0a31f8d632ed98
u02-s012-lecture-r1,lecture,formalDefinitions[0].statement,16,48,730b01961244fd9b88995831c958215ae1fe3bd771b25a885d5677bced48a485
u02-s012-lecture-r1,lecture,formalDefinitions[1].name,3,9,f7485111bed154186063028726c2752ccbf06dc1cc65e312cdf5e41a5283bd5a
u02-s012-lecture-r1,lecture,formalDefinitions[1].statement,13,39,a1d77e6d16c41bb7f074d9f5c67c5e3cde418e06ff2c4365fbec577c2f092b8f
u02-s012-lecture-r1,lecture,formulas[0].formula,17,17,776ae0ed312deda6af99ec5f9c4d2096fed9809ee9bebf369942dd25efc3fae0
u02-s012-lecture-r1,lecture,formulas[0].conditions[0],7,13,6db307430152ebcae8185eb3406545924b8d2f057cf223e9bd70a858ef06a625
u02-s012-lecture-r1,lecture,formulas[0].meaning,8,24,eb3a81ce25ffd1377844d25149ff30959ac2a016439b3bac657d5849edf97ecb
